,type,city,latitude,longitude,price_range,rating,votes,photo_count,delivery,area,chain_restaurant,indian,asian,western,middle_eastern,fast_food,others,highlights_count
195,Quick Bites,Agra,27.197961,77.945499,1,3.3,12,4,0,240928,1,1,0,0,0,1,0,5
196,Other,Agra,27.167421,78.036395,1,3.1,8,2,0,240928,0,1,0,0,0,0,0,5
197,Café/Bakery,Agra,27.1976325,78.0253318,1,3.3,8,0,0,240928,0,0,0,0,0,0,0,5
198,Quick Bites,Agra,27.215489,78.0022373,1,3.4,18,0,1,240928,0,0,0,0,0,1,0,2
199,Other,Agra,27.2127117,78.0304635,1,3.4,14,1,1,240928,0,0,1,0,0,0,0,4
200,Quick Bites,Agra,27.1588919,78.0081852,1,3.4,18,1,1,240928,0,0,0,0,0,1,0,5
201,Quick Bites,Agra,27.2235486,78.0225497,1,3.3,25,2,0,240928,0,0,0,0,0,1,0,5
202,Other,Agra,27.1913709,77.988608,1,2.7,10,2,1,240928,0,0,0,0,0,1,0,3
203,Quick Bites,Agra,27.211906,77.99046,1,3.6,26,0,0,240928,0,0,0,0,0,1,0,4
204,Quick Bites,Agra,27.2046803,78.0028287,1,3.4,18,0,1,240928,0,0,0,0,0,1,0,2
205,Quick Bites,Agra,27.2095359,78.0192662,1,3.5,21,0,1,240928,0,0,0,0,0,0,0,2
206,Quick Bites,Agra,27.1864799,77.994083,1,3.2,4,0,1,240928,0,1,0,0,0,0,0,10
207,Quick Bites,Agra,27.2126448,78.0262273,1,3.2,7,0,1,240928,0,0,0,0,0,1,0,9
208,Café/Bakery,Agra,27.203387,77.9509368,1,3.2,6,1,1,240928,0,0,0,0,0,0,0,3
209,Quick Bites,Agra,27.2040882,77.9527521,1,3.4,9,2,1,240928,0,0,0,0,0,0,1,7
210,Café/Bakery,Agra,27.2013798,78.0064675,1,3.1,8,5,1,240928,0,0,0,0,0,0,1,4
211,Quick Bites,Agra,27.1985388,77.9434236,1,0.0,3,3,1,240928,0,0,0,0,0,1,0,7
212,Quick Bites,Agra,27.2053178,77.9549342,1,3.3,8,0,1,240928,0,0,0,0,0,1,0,4
213,Café/Bakery,Agra,27.157978,78.047276,1,3.0,7,0,1,240928,0,0,0,0,0,0,1,5
214,Café/Bakery,Agra,27.202028,77.948461,1,3.1,5,0,1,240928,0,0,0,0,0,0,1,3
215,Other,Agra,27.2107106,77.9356625,1,3.4,4,0,1,240928,0,0,0,0,0,1,1,5
216,Quick Bites,Agra,27.1820978,77.9793689,1,3.3,10,0,0,240928,0,0,0,0,0,0,0,4
217,Quick Bites,Agra,27.20574398,78.05562638,1,2.8,5,0,1,240928,0,0,0,0,0,1,0,8
218,Café/Bakery,Agra,27.176323,77.9836592,1,0.0,2,0,1,240928,0,0,0,0,0,1,0,3
219,Café/Bakery,Agra,27.15765,78.0093066,1,0.0,3,0,1,240928,0,0,0,0,0,0,0,6
220,Café/Bakery,Agra,27.2106312,78.0169568,1,3.2,9,0,0,240928,0,0,0,0,0,0,1,4
221,Other,Agra,27.1878865,78.0188095,1,0.0,3,0,1,240928,0,0,0,0,0,1,0,2
222,Café/Bakery,Agra,27.17898883,78.01628843,1,2.9,10,0,0,240928,0,0,0,0,0,0,0,9
223,Café/Bakery,Agra,27.1602869,78.0113607,1,0.0,2,0,1,240928,0,0,0,0,0,1,1,3
224,Café/Bakery,Agra,27.14530793,78.00935358,1,0.0,3,0,0,240928,0,0,0,0,0,0,0,5
225,Café/Bakery,Agra,27.1894398,78.0077668,1,3.1,4,2,1,240928,0,0,0,0,0,0,1,5
226,Quick Bites,Agra,27.20989881,78.00705627,1,3.2,6,2,0,240928,0,1,0,0,0,0,0,6
227,Quick Bites,Agra,27.1592701,78.0084509,1,0.0,2,0,1,240928,0,0,0,0,0,1,0,6
228,Quick Bites,Agra,27.19851724,78.0052042,1,3.1,6,0,1,240928,0,0,0,0,0,1,0,3
229,Quick Bites,Agra,27.201917,78.007424,1,3.1,4,1,0,240928,0,0,0,0,0,1,0,5
230,Quick Bites,Agra,27.223022,78.0119197,1,3.1,5,2,1,240928,0,0,0,0,0,0,0,3
231,Café/Bakery,Agra,27.21432391,78.02514173,1,3.2,5,0,1,240928,0,0,0,0,0,0,1,8
